electorate,candidate,party,votes,source_url,1st_pref_votes
Laverton results,"SONI, Gurneet",New Democrats,2.91%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/laverton-district-results,1082
Laverton results,"DURZADA, Braishna",Australian Greens,9.41%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/laverton-district-results,3496
Laverton results,"FRY, David",Family First Victoria,3.64%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/laverton-district-results,1353
Laverton results,"PAREDES, Rufo",,0.96%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/laverton-district-results,355
Laverton results,"WIRTH, Michael",Labour DLP,5.52%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/laverton-district-results,2051
Laverton results,"ROBERTSON, Catherine",Victorian Socialists,5.94%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/laverton-district-results,2206
Laverton results,"RAYMOND, Trent",Freedom Party of Victoria,1.73%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/laverton-district-results,641
Laverton results,"BAGHERI, Pouya",Animal Justice Party,1.87%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/laverton-district-results,694
Laverton results,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,45.85%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/laverton-district-results,17026
Laverton results,"REDDY, Raja",Liberal,22.17%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/laverton-district-results,8233
Lowan results,"ETHERTON, Richard",Angry Victorians Party,3.95%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lowan-district-results,1710
Lowan results,"KEALY, Emma",The Nationals,58.85%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lowan-district-results,25482
Lowan results,"RAMSAY, Tamasin",Animal Justice Party,2.35%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lowan-district-results,1019
Lowan results,"COLEMAN, Robert",Family First Victoria,3.63%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lowan-district-results,1573
Lowan results,"MEAD, Amanda",,5.51%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lowan-district-results,2384
Lowan results,"MONAGHAN, Mick",Australian Labor Party - Victorian Branch,19.76%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lowan-district-results,8554
Lowan results,"LANE, Richard",Australian Greens,5.95%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lowan-district-results,2575
Macedon results,"BONANNO, Dominic",Liberal,29.97%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/macedon-district-results,12463
Macedon results,"McRAE McLEOD, Marley",Australian Greens,12.54%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/macedon-district-results,5214
Macedon results,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,41.44%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/macedon-district-results,17234
Macedon results,"BARTON, Huntly",,5.41%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/macedon-district-results,2250
Macedon results,"SEDGMAN, Kerryn P.",Freedom Party of Victoria,1.85%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/macedon-district-results,770
Macedon results,"McCORMACK, Chris",Family First Victoria,1.90%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/macedon-district-results,791
Macedon results,"EVEZARD, Amanda",Pauline Hanson's One Nation,3.63%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/macedon-district-results,1511
Macedon results,"BERGMANN, Iris",Animal Justice Party,3.26%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/macedon-district-results,1356
Malvern results,"NATOLI, Amelia",Animal Justice Party,2.46%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/malvern-district-results,1005
Malvern results,"NATALE, Darren",Australian Labor Party - Victorian Branch,26.19%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/malvern-district-results,10686
Malvern results,"O'BRIEN, Michael",Liberal,52.54%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/malvern-district-results,21438
Malvern results,"STEFANOPOULOS, Steve",,1.58%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/malvern-district-results,643
Malvern results,"SCHMIDT, Judy",Family First Victoria,1.57%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/malvern-district-results,639
Malvern results,"FULLER, Mitchell",Australian Greens,15.66%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/malvern-district-results,6390
Melbourne results,"PALACKALODY, George",Liberal,17.69%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,7522
Melbourne results,"SANDELL, Ellen",Australian Greens,37.29%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,15855
Melbourne results,"JANSON, Michael",Family First Victoria,1.26%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,535
Melbourne results,"AL-SAIMARY, Laylah",,1.01%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,428
Melbourne results,"BOLGER, Colleen",Victorian Socialists,5.46%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,2323
Melbourne results,"BANGAAR, Rabin",Animal Justice Party,1.65%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,701
Melbourne results,"SMITH, Steven J.",Freedom Party of Victoria,1.23%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,521
Melbourne results,"THISTLETON, Rebecca",Australian Labor Party - Victorian Branch,30.65%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,13033
Melbourne results,"FOXWORTHY, Nicola",Fiona Patten's Reason Party,3.77%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,1601
Melton results,"BLACKBORROW, Paul","Shooters, Fishers & Farmers Vic",4.47%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,1682
Melton results,"BIRCHALL, Ian",,9.05%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,3403
Melton results,"DOBRAN, Tony",Freedom Party of Victoria,1.91%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,717
Melton results,"WATT, Graham",Liberal,24.34%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,9155
Melton results,"BRUNT, Richard",Family First Victoria,2.51%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,946
Melton results,"PERERA, Jason Spencer",,0.35%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,130
Melton results,"ALP, Ashley",Labour DLP,4.33%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,1629
Melton results,"MORRIS, Praise",Australian Greens,4.55%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,1711
Melton results,"BINGHAM, Jarrod James",,5.81%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,2186
Melton results,"McGHIE, Steve",Australian Labor Party - Victorian Branch,37.73%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,14193
Melton results,"CIAPPARA, Lucienne",Health Australia Party,0.58%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,219
Melton results,"ADIN-JAMES, Fiona",Animal Justice Party,1.98%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,743
Melton results,"KAUR, Jasleen",New Democrats,0.64%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,242
Melton results,"DONALD, Samantha Jane",Derryn Hinch's Justice Party,1.76%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,663
Mildura results,"CUPPER, Ali",,33.86%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,12913
Mildura results,"BRYMER, Sonia",,2.83%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,1080
Mildura results,"BROUGHAM, Philippe John",Freedom Party of Victoria,1.09%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,416
Mildura results,"SHARPE, Felicity",Labour DLP,1.54%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,586
Mildura results,"MATHESON, Paul",Liberal,19.12%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,7291
Mildura results,"ZIGOURAS, Stella",Australian Labor Party - Victorian Branch,6.51%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,2483
Mildura results,"BENHAM, Jade",The Nationals,25.87%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,9868
Mildura results,"ZAYN, Angylina",Animal Justice Party,0.87%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,333
Mildura results,"STRATTON, Brad",Family First Victoria,1.47%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,560
Mildura results,"MILNE, Glenn",,4.50%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,1716
Mildura results,"CLEMENTS, Katie",Australian Greens,2.34%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,894
Mill Park results,"SIMONS, Marcia",Animal Justice Party,4.85%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mill-park-district-results,1833
Mill Park results,"YAP, Paige",Liberal,25.92%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mill-park-district-results,9797
Mill Park results,"ANDERSON, Craig",Family First Victoria,5.00%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mill-park-district-results,1891
Mill Park results,"FILIPPOPOULOS, Andrew",Freedom Party of Victoria,7.03%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mill-park-district-results,2659
Mill Park results,"D'AMBROSIO, Lily",Australian Labor Party - Victorian Branch,49.89%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mill-park-district-results,18857
Mill Park results,"KEARNEY, Chris",Australian Greens,7.30%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mill-park-district-results,2761
Monbulk results,"COLE, Craig",,4.95%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/monbulk-district-results,2069
Monbulk results,"FOLLONI, Leah",Animal Justice Party,4.16%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/monbulk-district-results,1739
Monbulk results,"BARNES, Veronica",Freedom Party of Victoria,2.18%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/monbulk-district-results,910
Monbulk results,"ORMSBY, Michael",Australian Greens,14.97%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/monbulk-district-results,6255
Monbulk results,"WARD, Gareth",Liberal,29.49%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/monbulk-district-results,12327
Monbulk results,"SKELTON, Johanna",,5.33%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/monbulk-district-results,2229
Monbulk results,"HIGGINS, David",Family First Victoria,2.86%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/monbulk-district-results,1197
Monbulk results,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,36.06%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/monbulk-district-results,15071
Mordialloc results,"O'DONNELL, Sarah",,7.35%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mordialloc-district-results,3240
Mordialloc results,"REID, Phil",,0.35%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mordialloc-district-results,154
Mordialloc results,"VO, Chi",Animal Justice Party,2.43%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mordialloc-district-results,1070
Mordialloc results,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,44.03%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mordialloc-district-results,19398
Mordialloc results,"LUM, Patrick",Family First Victoria,2.01%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mordialloc-district-results,887
Mordialloc results,"LESSA, Daniel",Australian Greens,10.27%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mordialloc-district-results,4526
Mordialloc results,"ALBRECHT, Deborah",Freedom Party of Victoria,2.17%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mordialloc-district-results,955
Mordialloc results,"PEASE, Phillip",Liberal,31.39%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mordialloc-district-results,13829
Mornington results,"LARDNER, Kate",,22.42%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mornington-district-results,9432
Mornington results,"SCHWEEN, Leonie",Animal Justice Party,1.76%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mornington-district-results,740
Mornington results,"CREWTHER, Chris",Liberal,42.58%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mornington-district-results,17910
Mornington results,"HAYWARD, Ross",Family First Victoria,0.89%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mornington-district-results,375
Mornington results,"PETTITT, Paul",Freedom Party of Victoria,2.47%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mornington-district-results,1041
Mornington results,"AGIRTAN, Jane",,1.52%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mornington-district-results,641
Mornington results,"SINCLAIR, Harry",Australian Greens,6.36%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mornington-district-results,2677
Mornington results,"FOWLER, Georgia",Australian Labor Party - Victorian Branch,21.98%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mornington-district-results,9246
Morwell results,"HARRIMAN, Dale",Liberal,15.51%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,6710
Morwell results,"CAMERON, Martin",The Nationals,22.89%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,9902
Morwell results,"MAIDANA, Alex",Freedom Party of Victoria,2.08%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,900
Morwell results,"HINE, Rochelle",Australian Greens,4.23%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,1830
Morwell results,"PROCTOR, Lisa",,1.08%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,469
Morwell results,"CLARKE, Brendan",Family First Victoria,1.73%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,749
Morwell results,"McAULIFFE, Jessica",Animal Justice Party,1.59%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,687
Morwell results,"MAXFIELD, Kate",Australian Labor Party - Victorian Branch,31.44%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,13601
Morwell results,"GIBSON, Sharon",,5.81%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,2515
Morwell results,"LUND, Tracie",,2.79%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,1206
Morwell results,"HICKEN, Allan",Pauline Hanson's One Nation,6.12%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,2648
Morwell results,"SNELLING, David","Shooters, Fishers & Farmers Vic",4.72%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,2044
Mulgrave results,"ANDREWS, Daniel",Australian Labor Party - Victorian Branch,51.00%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,19365
Mulgrave results,"KING, Andrew",,0.46%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,173
Mulgrave results,"ISMA, Ezra J. D.",,0.24%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,92
Mulgrave results,"MOODY, Anne",,0.38%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,146
Mulgrave results,"COOK, Ian",,18.01%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,6838
Mulgrave results,"TOSCANO, Joseph",,0.41%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,155
Mulgrave results,"MOULD, David",Animal Justice Party,1.10%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,419
Mulgrave results,"FOREMAN, Jane",Family First Victoria,1.97%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,749
Mulgrave results,"LIM, Robert",Australian Greens,5.08%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,1930
Mulgrave results,"WOOD, Maree",Labour DLP,0.86%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,327
Mulgrave results,"PIASTRINO, Michael",Liberal,17.19%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,6528
Mulgrave results,"THEODOSSOPOULOU, Fotini",,0.80%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,305
Mulgrave results,"LEE, Howard",,0.32%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,120
Mulgrave results,"McLINDON, Aidan",Freedom Party of Victoria,2.17%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,824
Murray Plains results,"MacPHERSON, Cameron",Family First Victoria,6.41%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/murray-plains-district-results,2575
Murray Plains results,"BISH, Katia",Freedom Party of Victoria,4.36%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/murray-plains-district-results,1752
Murray Plains results,"HURRELL, Damien",Australian Labor Party - Victorian Branch,18.77%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/murray-plains-district-results,7543
Murray Plains results,"LEUNG, Glenys",Animal Justice Party,2.26%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/murray-plains-district-results,908
Murray Plains results,"WALSH, Peter",The Nationals,61.78%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/murray-plains-district-results,24831
Murray Plains results,"OTTO, Andrea",,2.54%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/murray-plains-district-results,1022
Murray Plains results,"BROWNSTEIN, John",Australian Greens,3.88%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/murray-plains-district-results,1560
Narre Warren North results,"WILSON, Belinda",Australian Labor Party - Victorian Branch,46.77%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-north-district-results,19350
Narre Warren North results,"ZMEGAC, Andrew",Labour DLP,2.88%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-north-district-results,1191
Narre Warren North results,"RUYTER, Monique","Shooters, Fishers & Farmers Vic",1.87%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-north-district-results,772
Narre Warren North results,"CAPON, Stephen",,2.19%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-north-district-results,906
Narre Warren North results,"GARDNER, Sheree",Animal Justice Party,2.36%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-north-district-results,978
Narre Warren North results,"ELKINS, Christine",Family First Victoria,3.70%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-north-district-results,1530
Narre Warren North results,"PARKER, Craig",Freedom Party of Victoria,2.94%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-north-district-results,1218
Narre Warren North results,"MATULEC, Stephen",Liberal Democrats,3.20%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-north-district-results,1325
Narre Warren North results,"DRAGAN, Timothy",Liberal,27.29%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-north-district-results,11291
Narre Warren North results,"McLEAN, Laura",Australian Greens,6.79%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-north-district-results,2809
Narre Warren South results,"HARVEY, Jacqueline",Family First Victoria,5.82%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-south-district-results,2495
Narre Warren South results,"SKROBO, Christine",Liberal Democrats,2.83%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-south-district-results,1212
Narre Warren South results,"BAKER-PEARCE, Tylere",,0.68%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-south-district-results,290
Narre Warren South results,"SAMUEL, Annette",Liberal,28.65%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-south-district-results,12280
Narre Warren South results,"MAAS, Gary",Australian Labor Party - Victorian Branch,47.98%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-south-district-results,20562
Narre Warren South results,"GALLAGHER, Michael",Animal Justice Party,2.45%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-south-district-results,1048
Narre Warren South results,"MOORE, Susanna",Australian Greens,6.62%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-south-district-results,2836
Narre Warren South results,"HANSEN, Geoff",Freedom Party of Victoria,4.98%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-south-district-results,2136
Nepean results,"MILLER, Jay",Companions and Pets Party,1.29%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/nepean-district-results,526
Nepean results,"DIJKMAN, Janny",Family First Victoria,1.57%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/nepean-district-results,638
Nepean results,"ENGELANDER, Pamela",Animal Justice Party,1.77%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/nepean-district-results,720
Nepean results,"AINSLIE, Charelle",,1.10%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/nepean-district-results,449
Nepean results,"GROTH, Sam",Liberal,48.11%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/nepean-district-results,19614
Nepean results,"GLEIXNER, Esther",Australian Greens,8.77%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/nepean-district-results,3576
Nepean results,"ANGER, Steve",,0.22%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/nepean-district-results,91
Nepean results,"LEINE, Hank",Freedom Party of Victoria,2.40%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/nepean-district-results,980
Nepean results,"WOOLCOCK, Elizabeth",,1.21%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/nepean-district-results,495
Nepean results,"BRAYNE, Chris",Australian Labor Party - Victorian Branch,32.64%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/nepean-district-results,13308
Nepean results,"SKRUZNY, Cynthia",Labour DLP,0.91%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/nepean-district-results,369
Niddrie results,"MAUGERI, Frank",Freedom Party of Victoria,4.50%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/niddrie-district-results,1899
Niddrie results,"KRUSE, Holly",Labour DLP,2.77%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/niddrie-district-results,1172
Niddrie results,"CARROLL, Ben",Australian Labor Party - Victorian Branch,43.95%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/niddrie-district-results,18567
Niddrie results,"REICH, Brad",Victorian Socialists,2.29%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/niddrie-district-results,966
Niddrie results,"MEILAK, Shannon",Animal Justice Party,1.92%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/niddrie-district-results,812
Niddrie results,"GARCIA, Joanne",Family First Victoria,2.59%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/niddrie-district-results,1096
Niddrie results,"GRAMMENOS, Georgia",New Democrats,0.64%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/niddrie-district-results,269
Niddrie results,"YOUHANA, Alan",Liberal,33.96%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/niddrie-district-results,14344
Niddrie results,"McGINNESS, Declan",Australian Greens,7.38%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/niddrie-district-results,3117
Northcote results,"WHITEHEAD, Adrian",,1.21%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/northcote-district-results,518
Northcote results,"NTOUNI, Anastacia",Freedom Party of Victoria,1.71%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/northcote-district-results,729
Northcote results,"GOME, Campbell",Australian Greens,30.01%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/northcote-district-results,12797
Northcote results,"OSECKAS, Tim",Animal Justice Party,1.78%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/northcote-district-results,757
Northcote results,"LARKIN, Kath",Victorian Socialists,6.51%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/northcote-district-results,2776
Northcote results,"CAVE, Anthony",Liberal Democrats,1.24%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/northcote-district-results,530
